Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1975-08,-2.85,-2.84,-0.95,1.11,-0.93,0.48,-0.1,-3.2148,-0.1403,0.6873,1.3673
1975-09,-4.26,0.05,0.39,0.53,0.55,0.53,0.41,0.6781,1.3668,1.677,3.2839
1975-10,5.31,-4.23,0.28,-0.49,2.26,0.56,-0.16,-4.597,3.1196,2.5741,2.5221
1975-11,2.64,-1.09,2.03,-0.68,1.75,0.41,-0.45,-0.4411,1.5571,0.6959,1.6136
1975-12,-1.6,-0.05,1.69,-0.09,0.57,0.48,-0.11,0.2818,0.0111,-2.2596,0.4872
1976-01,12.16,6.34,8.63,-1.79,2.28,0.47,4.45,6.8426,1.3805,-2.6249,0.941
1976-02,0.32,7.99,5.87,-2.64,3.87,0.34,0.38,6.9458,2.2167,-3.6997,0.8386
1976-03,2.32,-1.38,-0.12,-0.33,0.96,0.4,0.15,-0.4361,1.7776,2.411,1.5931
1976-04,-1.49,0.08,-0.16,0.4,-1.1,0.42,0.59,-0.4866,-0.9555,-0.2693,-0.0135
1976-05,-1.34,-1.1,-1.36,2.46,-1.41,0.37,-1.12,-1.2126,-0.9846,0.4517,0.4205
1976-06,4.05,-1.07,0.71,-0.68,1.02,0.43,-0.42,0.0453,1.3001,-0.0271,0.9209
1976-07,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.13,1.2082,0.8559,0.7259,1.63
1976-08,-0.56,-1.98,0.81,-0.42,-0.55,0.42,-0.85,-2.1042,-0.5939,-0.0105,0.6296
1976-09,2.07,0.1,-0.29,0.98,-1.15,0.44,0.22,-0.284,-1.4853,1.0646,0.9911
1976-10,-2.42,0.13,-0.18,-0.19,-0.37,0.41,-0.44,0.6837,-1.0682,0.3201,-0.5163
1976-11,0.36,2.66,1.51,-1.41,0.09,0.4,2.91,3.3528,-0.3773,-0.6261,0.1132
1976-12,5.65,3.64,2.27,-0.61,2.28,0.4,0.73,3.4032,1.7912,-1.0562,1.1166
1977-01,-4.05,5.9,4.27,-0.51,1.97,0.36,4.0,5.98,1.0172,-2.1629,1.6572
1977-02,-1.94,1.07,0.47,-0.16,-0.22,0.35,0.36,1.0877,0.0981,1.237,0.4244
1977-03,-1.37,1.31,1.09,-0.3,-0.06,0.38,0.55,1.477,-0.2503,0.3138,-0.3321
